# run: n=3, Nk=30, M-point grid (include_M=True), nv=nc=2, raw BSE, state=0
# TB: hoppings x0.70, eps_Bp=1.508, eps0(BSE)=2.80 ; Eg=2.1783 eV, Eb=183.0 meV
# model: W(k) = 2*pi*a0^2 / (1 + a0^2 k^2/4)^3 / (Nk^2 a^2)   [normalized, sum_k W=1]
# --- fit results ---
# a0_linear = 32.7038 A   a_BZ=a0/2 = 16.3519 A   r=sqrt(3/2)a_BZ = 20.0269 A
# a0_log    = 41.3537 A   a_BZ=a0/2 = 20.6768 A   r=sqrt(3/2)a_BZ = 25.3239 A
# a0_peak   = 32.5760 A  (from peak height W(M)=0.18666)
# a_BZ_moment = 17.6177 A   (direct second moment; r_Eq29=sqrt(3/2)a_BZ=21.5772 A)
# hydrogenicity invariant R = 0.8547  (=1 if true 2D 1s)
# --- columns ---
# abs_dk[1/A]    W_k(BSE)      W_fit_linear   W_fit_log
    0.212868   3.455612e-05   8.337849e-05   3.557494e-05
    0.212868   3.455612e-05   8.337849e-05   3.557494e-05
    0.212868   3.454613e-05   8.337849e-05   3.557494e-05
    0.212868   3.454613e-05   8.337849e-05   3.557494e-05
    0.212868   3.456007e-05   8.337849e-05   3.557494e-05
    0.212868   3.456007e-05   8.337849e-05   3.557494e-05
    0.212868   3.457029e-05   8.337849e-05   3.557494e-05
    0.212868   3.457029e-05   8.337849e-05   3.557494e-05
    0.223010   3.267372e-05   6.436176e-05   2.726185e-05
    0.223010   3.268021e-05   6.436176e-05   2.726185e-05
    0.223010   3.268021e-05   6.436176e-05   2.726185e-05
    0.223010   3.267372e-05   6.436176e-05   2.726185e-05
    0.223010   3.269176e-05   6.436176e-05   2.726185e-05
    0.223010   3.269176e-05   6.436176e-05   2.726185e-05
    0.223010   3.269844e-05   6.436176e-05   2.726185e-05
    0.223010   3.269844e-05   6.436176e-05   2.726185e-05
    0.232711   5.055234e-05   5.071509e-05   2.134966e-05
    0.232711   5.055234e-05   5.071509e-05   2.134966e-05
    0.232711   5.058659e-05   5.071509e-05   2.134966e-05
    0.232711   5.058659e-05   5.071509e-05   2.134966e-05
    0.235073   1.680174e-05   4.791813e-05   2.014413e-05
    0.235073   1.680988e-05   4.791813e-05   2.014413e-05
    0.235073   1.680988e-05   4.791813e-05   2.014413e-05
    0.235073   4.321623e-05   4.791813e-05   2.014413e-05
    0.235073   4.321859e-05   4.791813e-05   2.014413e-05
    0.235073   4.321623e-05   4.791813e-05   2.014413e-05
    0.235073   4.321859e-05   4.791813e-05   2.014413e-05
    0.235073   4.324640e-05   4.791813e-05   2.014413e-05
    0.235073   4.324884e-05   4.791813e-05   2.014413e-05
    0.235073   4.324884e-05   4.791813e-05   2.014413e-05
    0.235073   4.324640e-05   4.791813e-05   2.014413e-05
    0.235073   1.681821e-05   4.791813e-05   2.014413e-05
    0.239729   1.667406e-05   4.291214e-05   1.799223e-05
    0.239729   1.667979e-05   4.291214e-05   1.799223e-05
    0.239729   1.667979e-05   4.291214e-05   1.799223e-05
    0.239729   1.667406e-05   4.291214e-05   1.799223e-05
    0.239729   1.669092e-05   4.291214e-05   1.799223e-05
    0.239729   1.669092e-05   4.291214e-05   1.799223e-05
    0.239729   1.668502e-05   4.291214e-05   1.799223e-05
    0.239729   1.668502e-05   4.291214e-05   1.799223e-05
    0.242023   2.848495e-05   4.066919e-05   1.703057e-05
    0.242023   2.848855e-05   4.066919e-05   1.703057e-05
    0.242023   2.848855e-05   4.066919e-05   1.703057e-05
    0.242023   2.848495e-05   4.066919e-05   1.703057e-05
    0.242023   2.850671e-05   4.066919e-05   1.703057e-05
    0.242023   2.850671e-05   4.066919e-05   1.703057e-05
    0.242023   2.851044e-05   4.066919e-05   1.703057e-05
    0.242023   2.851044e-05   4.066919e-05   1.703057e-05
    0.253182   1.616879e-05   3.151864e-05   1.312480e-05
    0.253182   1.616879e-05   3.151864e-05   1.312480e-05
    0.253182   1.617256e-05   3.151864e-05   1.312480e-05
    0.253182   1.617256e-05   3.151864e-05   1.312480e-05
    0.253182   1.618300e-05   3.151864e-05   1.312480e-05
    0.253182   1.618690e-05   3.151864e-05   1.312480e-05
    0.253182   1.618690e-05   3.151864e-05   1.312480e-05
    0.253182   1.618300e-05   3.151864e-05   1.312480e-05
    0.259647   8.613580e-06   2.731487e-05   1.134083e-05
    0.259647   8.613580e-06   2.731487e-05   1.134083e-05
    0.259647   8.618515e-06   2.731487e-05   1.134083e-05
    0.259647   8.618515e-06   2.731487e-05   1.134083e-05
    0.259647   8.620358e-06   2.731487e-05   1.134083e-05
    0.259647   8.620358e-06   2.731487e-05   1.134083e-05
    0.259647   8.625425e-06   2.731487e-05   1.134083e-05
    0.259647   8.625425e-06   2.731487e-05   1.134083e-05
    0.265955   2.492331e-05   2.382663e-05   9.866065e-06
    0.265955   2.492331e-05   2.382663e-05   9.866065e-06
    0.265955   2.489685e-05   2.382663e-05   9.866065e-06
    0.265955   2.489685e-05   2.382663e-05   9.866065e-06
    0.268025   8.695690e-06   2.279657e-05   9.431605e-06
    0.268025   8.699168e-06   2.279657e-05   9.431605e-06
    0.268025   8.695690e-06   2.279657e-05   9.431605e-06
    0.268025   8.699168e-06   2.279657e-05   9.431605e-06
    0.268025   8.708356e-06   2.279657e-05   9.431605e-06
    0.268025   2.161448e-05   2.279657e-05   9.431605e-06
    0.268025   2.161591e-05   2.279657e-05   9.431605e-06
    0.268025   8.704759e-06   2.279657e-05   9.431605e-06
    0.268025   8.708356e-06   2.279657e-05   9.431605e-06
    0.268025   2.161448e-05   2.279657e-05   9.431605e-06
    0.268025   2.161591e-05   2.279657e-05   9.431605e-06
    0.268025   8.704759e-06   2.279657e-05   9.431605e-06
    0.268025   2.159085e-05   2.279657e-05   9.431605e-06
    0.268025   2.159085e-05   2.279657e-05   9.431605e-06
    0.268025   2.159222e-05   2.279657e-05   9.431605e-06
    0.268025   2.159222e-05   2.279657e-05   9.431605e-06
    0.274140   1.476066e-05   2.004150e-05   8.272042e-06
    0.274140   1.475841e-05   2.004150e-05   8.272042e-06
    0.274140   1.476066e-05   2.004150e-05   8.272042e-06
    0.274140   1.475841e-05   2.004150e-05   8.272042e-06
    0.274140   1.474293e-05   2.004150e-05   8.272042e-06
    0.274140   1.474293e-05   2.004150e-05   8.272042e-06
    0.274140   1.474077e-05   2.004150e-05   8.272042e-06
    0.274140   1.474077e-05   2.004150e-05   8.272042e-06
    0.282088   4.642767e-06   1.701749e-05   7.003717e-06
    0.282088   4.647062e-06   1.701749e-05   7.003717e-06
    0.282088   4.647062e-06   1.701749e-05   7.003717e-06
    0.282088   4.651463e-06   1.701749e-05   7.003717e-06
    0.284040   8.738030e-06   1.635783e-05   6.727710e-06
    0.284040   8.738030e-06   1.635783e-05   6.727710e-06
    0.284040   8.740464e-06   1.635783e-05   6.727710e-06
    0.284040   8.740464e-06   1.635783e-05   6.727710e-06
    0.284040   8.728382e-06   1.635783e-05   6.727710e-06
    0.284040   8.728382e-06   1.635783e-05   6.727710e-06
    0.284040   8.726044e-06   1.635783e-05   6.727710e-06
    0.284040   8.726044e-06   1.635783e-05   6.727710e-06
    0.285979   4.703707e-06   1.573184e-05   6.466017e-06
    0.285979   4.703707e-06   1.573184e-05   6.466017e-06
    0.285979   4.709552e-06   1.573184e-05   6.466017e-06
    0.285979   4.709552e-06   1.573184e-05   6.466017e-06
    0.285979   4.706814e-06   1.573184e-05   6.466017e-06
    0.285979   4.712760e-06   1.573184e-05   6.466017e-06
    0.285979   4.706814e-06   1.573184e-05   6.466017e-06
    0.285979   4.712760e-06   1.573184e-05   6.466017e-06
    0.297347   4.894614e-06   1.257433e-05   5.149699e-06
    0.297347   4.892304e-06   1.257433e-05   5.149699e-06
    0.297347   4.894614e-06   1.257433e-05   5.149699e-06
    0.297347   4.892304e-06   1.257433e-05   5.149699e-06
    0.297347   4.884373e-06   1.257433e-05   5.149699e-06
    0.297347   4.886594e-06   1.257433e-05   5.149699e-06
