# |k-kM|_invAngstrom    Wk_weight
1.486733e-01 4.025774e-04
1.370700e-01 7.633404e-04
1.329775e-01 9.817104e-04
1.370700e-01 7.633168e-04
1.486733e-01 4.025481e-04
1.662218e-01 1.780385e-04
1.880585e-01 7.665979e-05
2.128678e-01 3.446598e-05
2.397285e-01 1.662583e-05
2.680247e-01 8.666218e-06
2.973467e-01 4.865969e-06
3.274190e-01 2.921266e-06
3.580528e-01 1.860700e-06
3.891153e-01 1.250195e-06
4.205117e-01 8.837635e-07
4.521723e-01 6.582541e-07
4.840453e-01 5.194549e-07
5.085410e-01 7.634061e-07
4.759869e-01 8.701367e-07
4.435352e-01 1.086868e-06
4.112101e-01 1.459756e-06
3.790441e-01 2.084565e-06
3.470814e-01 3.154559e-06
3.153838e-01 5.069678e-06
2.840400e-01 8.706994e-06
2.531816e-01 1.613314e-05
2.230100e-01 3.260941e-05
1.938463e-01 7.257246e-05
1.662218e-01 1.780631e-04
1.410439e-01 4.725658e-04
1.198643e-01 1.262554e-03
1.051279e-01 2.822129e-03
9.973310e-02 3.912299e-03
1.051279e-01 2.822058e-03
1.198643e-01 1.262480e-03
1.410439e-01 4.725125e-04
1.662218e-01 1.780275e-04
1.938463e-01 7.254780e-05
2.230100e-01 3.259129e-05
2.531816e-01 1.611888e-05
2.840400e-01 8.694974e-06
3.153838e-01 5.058850e-06
3.470814e-01 3.144127e-06
3.790441e-01 2.073767e-06
4.112101e-01 1.447604e-06
4.435352e-01 1.071596e-06
4.759869e-01 8.470654e-07
5.030786e-01 1.173922e-06
4.701463e-01 1.330181e-06
4.372614e-01 1.664209e-06
4.044352e-01 2.252790e-06
3.716833e-01 3.260823e-06
3.390273e-01 5.029971e-06
3.064979e-01 8.290288e-06
2.741401e-01 1.470863e-05
2.420226e-01 2.842580e-05
2.102558e-01 6.078177e-05
1.790264e-01 1.463435e-04
1.486733e-01 4.025774e-04
1.198643e-01 1.262554e-03
9.402927e-02 4.239149e-03
7.433666e-02 1.216153e-02
6.648873e-02 1.908393e-02
7.433666e-02 1.216128e-02
9.402927e-02 4.238941e-03
1.198643e-01 1.262434e-03
1.486733e-01 4.025089e-04
1.790264e-01 1.463009e-04
2.102558e-01 6.075272e-05
2.420226e-01 2.840409e-05
2.741401e-01 1.469105e-05
3.064979e-01 8.274924e-06
3.390273e-01 5.015527e-06
3.716833e-01 3.246164e-06
4.044352e-01 2.236543e-06
4.372614e-01 1.643998e-06
4.701463e-01 1.299750e-06
4.997724e-01 1.589249e-06
4.666069e-01 1.794694e-06
4.334535e-01 2.249934e-06
4.003152e-01 3.065882e-06
3.671960e-01 4.486542e-06
3.341018e-01 7.028121e-06
3.010405e-01 1.182291e-05
2.680247e-01 2.154390e-05
2.350732e-01 4.312980e-05
2.022176e-01 9.677660e-05
1.695137e-01 2.497508e-04
1.370700e-01 7.633404e-04
1.051279e-01 2.822129e-03
7.433666e-02 1.216153e-02
4.701463e-02 4.768384e-02
3.324437e-02 8.921000e-02
4.701463e-02 4.768299e-02
7.433666e-02 1.216101e-02
1.051279e-01 2.821891e-03
1.370700e-01 7.632239e-04
1.695137e-01 2.496853e-04
2.022176e-01 9.673467e-05
2.350732e-01 4.309988e-05
2.680247e-01 2.152045e-05
3.010405e-01 1.180296e-05
3.341018e-01 7.009755e-06
3.671960e-01 4.468231e-06
4.003152e-01 3.045887e-06
4.334535e-01 2.225355e-06
4.666069e-01 1.757975e-06
4.986655e-01 1.775071e-06
4.654211e-01 2.002392e-06
4.321768e-01 2.512678e-06
3.989324e-01 3.433068e-06
3.656880e-01 5.045715e-06
