# energy_eV    eps2_arb    eps2_normalised
1.693912e+00 3.639452e-01 2.523861e-03
1.695163e+00 3.659766e-01 2.537948e-03
1.696414e+00 3.680291e-01 2.552182e-03
1.697665e+00 3.701031e-01 2.566564e-03
1.698916e+00 3.721988e-01 2.581097e-03
1.700167e+00 3.743166e-01 2.595784e-03
1.701418e+00 3.764569e-01 2.610626e-03
1.702669e+00 3.786200e-01 2.625627e-03
1.703920e+00 3.808063e-01 2.640788e-03
1.705171e+00 3.830161e-01 2.656112e-03
1.706422e+00 3.852498e-01 2.671602e-03
1.707673e+00 3.875078e-01 2.687261e-03
1.708924e+00 3.897905e-01 2.703091e-03
1.710175e+00 3.920983e-01 2.719095e-03
1.711426e+00 3.944316e-01 2.735276e-03
1.712677e+00 3.967908e-01 2.751637e-03
1.713928e+00 3.991764e-01 2.768180e-03
1.715179e+00 4.015887e-01 2.784909e-03
1.716430e+00 4.040283e-01 2.801826e-03
1.717681e+00 4.064955e-01 2.818936e-03
1.718932e+00 4.089909e-01 2.836241e-03
1.720183e+00 4.115149e-01 2.853744e-03
1.721435e+00 4.140680e-01 2.871449e-03
1.722686e+00 4.166507e-01 2.889359e-03
1.723937e+00 4.192635e-01 2.907479e-03
1.725188e+00 4.219070e-01 2.925810e-03
1.726439e+00 4.245815e-01 2.944358e-03
1.727690e+00 4.272878e-01 2.963125e-03
1.728941e+00 4.300263e-01 2.982116e-03
1.730192e+00 4.327977e-01 3.001334e-03
1.731443e+00 4.356024e-01 3.020784e-03
1.732694e+00 4.384411e-01 3.040470e-03
1.733945e+00 4.413145e-01 3.060396e-03
1.735196e+00 4.442230e-01 3.080566e-03
1.736447e+00 4.471674e-01 3.100984e-03
1.737698e+00 4.501483e-01 3.121656e-03
1.738949e+00 4.531663e-01 3.142585e-03
1.740200e+00 4.562223e-01 3.163777e-03
1.741451e+00 4.593167e-01 3.185237e-03
1.742702e+00 4.624504e-01 3.206968e-03
1.743953e+00 4.656242e-01 3.228977e-03
