# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | densities include spin factor SPIN_DEG=2
# dmu_eV  kx_invA  ky_invA  f_v  f_c  absDelta_eV  e_minus_eV  epsr_v_eV  epsr_c_eV
1.971600e+00 2.436655e-01 3.186655e-01 1.000000e+00 3.980221e-21 1.040219e-10 -5.703708e-01 -4.670299e-01 3.153383e+00
1.971600e+00 2.436655e-01 3.336655e-01 1.000000e+00 5.191476e-21 1.135788e-10 -5.555881e-01 -4.522472e-01 3.095700e+00
1.971600e+00 2.436655e-01 3.486655e-01 1.000000e+00 6.821243e-21 1.239277e-10 -5.386222e-01 -4.352813e-01 3.036821e+00
1.971600e+00 2.436655e-01 3.636655e-01 1.000000e+00 9.003179e-21 1.349619e-10 -5.194983e-01 -4.161574e-01 2.977814e+00
1.971600e+00 2.436655e-01 3.786655e-01 1.000000e+00 1.189263e-20 1.464993e-10 -4.984513e-01 -3.951104e-01 2.919863e+00
1.971600e+00 2.436655e-01 3.936655e-01 1.000000e+00 1.564857e-20 1.582786e-10 -4.759812e-01 -3.726403e-01 2.864235e+00
1.971600e+00 2.436655e-01 4.086655e-01 1.000000e+00 2.039230e-20 1.699611e-10 -4.528762e-01 -3.495353e-01 2.812255e+00
1.971600e+00 2.436655e-01 4.236655e-01 1.000000e+00 2.613253e-20 1.811372e-10 -4.301861e-01 -3.268452e-01 2.765268e+00
1.971600e+00 2.436655e-01 4.386655e-01 1.000000e+00 3.265666e-20 1.913361e-10 -4.091436e-01 -3.058027e-01 2.724590e+00
1.971600e+00 2.436655e-01 4.536655e-01 1.000000e+00 3.942004e-20 2.000447e-10 -3.910429e-01 -2.877020e-01 2.691452e+00
1.971600e+00 2.436655e-01 4.686655e-01 1.000000e+00 4.551473e-20 2.067459e-10 -3.770971e-01 -2.737562e-01 2.666927e+00
1.971600e+00 2.436655e-01 4.836655e-01 1.000000e+00 4.982374e-20 2.109820e-10 -3.682961e-01 -2.649552e-01 2.651853e+00
1.971600e+00 2.436655e-01 4.986655e-01 1.000000e+00 5.138762e-20 2.124326e-10 -3.652874e-01 -2.619464e-01 2.646766e+00
1.971600e+00 2.436655e-01 5.136655e-01 1.000000e+00 4.982374e-20 2.109820e-10 -3.682961e-01 -2.649552e-01 2.651853e+00
1.971600e+00 2.436655e-01 5.286655e-01 1.000000e+00 4.551473e-20 2.067459e-10 -3.770971e-01 -2.737562e-01 2.666927e+00
1.971600e+00 2.436655e-01 5.436655e-01 1.000000e+00 3.942004e-20 2.000447e-10 -3.910429e-01 -2.877020e-01 2.691452e+00
1.971600e+00 2.436655e-01 5.586655e-01 1.000000e+00 3.265666e-20 1.913361e-10 -4.091436e-01 -3.058027e-01 2.724590e+00
1.971600e+00 2.436655e-01 5.736655e-01 1.000000e+00 2.613253e-20 1.811372e-10 -4.301861e-01 -3.268452e-01 2.765268e+00
1.971600e+00 2.436655e-01 5.886655e-01 1.000000e+00 2.039230e-20 1.699611e-10 -4.528762e-01 -3.495353e-01 2.812255e+00
1.971600e+00 2.436655e-01 6.036655e-01 1.000000e+00 1.564857e-20 1.582786e-10 -4.759812e-01 -3.726403e-01 2.864235e+00
