# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | density n = G_DEG * INT d2k/(2pi)^2 f_c (Kramers degeneracy G_DEG=2)
# target_n=3.200e+12 cm^-2  n=3.194282e+12 cm^-2  dmu=2.019100 eV  inverted
# kx_invA  omega_eV  A_kw
-1.800000e-01 -5.729359e-01 5.038546e-01
-1.650000e-01 -5.729359e-01 4.632376e-01
-1.500000e-01 -5.729359e-01 4.222220e-01
-1.350000e-01 -5.729359e-01 3.817314e-01
-1.200000e-01 -5.729359e-01 3.426518e-01
-1.050000e-01 -5.729359e-01 3.055812e-01
-9.000000e-02 -5.729359e-01 2.704133e-01
-7.500000e-02 -5.729359e-01 2.357796e-01
-6.000000e-02 -5.729359e-01 1.994494e-01
-4.500000e-02 -5.729359e-01 1.626598e-01
-3.000000e-02 -5.729359e-01 1.329643e-01
-1.500000e-02 -5.729359e-01 1.155559e-01
5.551115e-17 -5.729359e-01 1.100466e-01
1.500000e-02 -5.729359e-01 1.155559e-01
3.000000e-02 -5.729359e-01 1.329643e-01
4.500000e-02 -5.729359e-01 1.626598e-01
6.000000e-02 -5.729359e-01 1.994494e-01
7.500000e-02 -5.729359e-01 2.357796e-01
9.000000e-02 -5.729359e-01 2.704133e-01
1.050000e-01 -5.729359e-01 3.055812e-01
1.200000e-01 -5.729359e-01 3.426518e-01
1.350000e-01 -5.729359e-01 3.817314e-01
1.500000e-01 -5.729359e-01 4.222220e-01
1.650000e-01 -5.729359e-01 4.632376e-01
1.800000e-01 -5.729359e-01 5.038546e-01
1.950000e-01 -5.729359e-01 5.432551e-01
2.100000e-01 -5.729359e-01 5.807945e-01
2.250000e-01 -5.729359e-01 6.160176e-01
2.400000e-01 -5.729359e-01 6.486397e-01
2.550000e-01 -5.729359e-01 6.785099e-01
2.700000e-01 -5.729359e-01 7.055715e-01
2.850000e-01 -5.729359e-01 7.298315e-01
3.000000e-01 -5.729359e-01 7.513452e-01
-3.000000e-01 -5.592716e-01 8.212749e-01
-2.850000e-01 -5.592716e-01 7.967743e-01
-2.700000e-01 -5.592716e-01 7.691979e-01
-2.550000e-01 -5.592716e-01 7.385030e-01
-2.400000e-01 -5.592716e-01 7.047051e-01
-2.250000e-01 -5.592716e-01 6.678954e-01
-2.100000e-01 -5.592716e-01 6.282738e-01
-1.950000e-01 -5.592716e-01 5.861924e-01
-1.800000e-01 -5.592716e-01 5.421932e-01
-1.650000e-01 -5.592716e-01 4.970242e-01
-1.500000e-01 -5.592716e-01 4.516177e-01
-1.350000e-01 -5.592716e-01 4.070093e-01
-1.200000e-01 -5.592716e-01 3.641794e-01
-1.050000e-01 -5.592716e-01 3.237845e-01
-9.000000e-02 -5.592716e-01 2.857205e-01
-7.500000e-02 -5.592716e-01 2.485455e-01
-6.000000e-02 -5.592716e-01 2.099027e-01
-4.500000e-02 -5.592716e-01 1.710403e-01
-3.000000e-02 -5.592716e-01 1.397824e-01
-1.500000e-02 -5.592716e-01 1.214848e-01
5.551115e-17 -5.592716e-01 1.156972e-01
1.500000e-02 -5.592716e-01 1.214848e-01
3.000000e-02 -5.592716e-01 1.397824e-01
4.500000e-02 -5.592716e-01 1.710403e-01
6.000000e-02 -5.592716e-01 2.099027e-01
7.500000e-02 -5.592716e-01 2.485455e-01
9.000000e-02 -5.592716e-01 2.857205e-01
1.050000e-01 -5.592716e-01 3.237845e-01
1.200000e-01 -5.592716e-01 3.641794e-01
1.350000e-01 -5.592716e-01 4.070093e-01
1.500000e-01 -5.592716e-01 4.516177e-01
1.650000e-01 -5.592716e-01 4.970242e-01
1.800000e-01 -5.592716e-01 5.421932e-01
1.950000e-01 -5.592716e-01 5.861924e-01
2.100000e-01 -5.592716e-01 6.282738e-01
2.250000e-01 -5.592716e-01 6.678954e-01
2.400000e-01 -5.592716e-01 7.047051e-01
2.550000e-01 -5.592716e-01 7.385030e-01
2.700000e-01 -5.592716e-01 7.691979e-01
2.850000e-01 -5.592716e-01 7.967743e-01
3.000000e-01 -5.592716e-01 8.212749e-01
-3.000000e-01 -5.456073e-01 9.012036e-01
-2.850000e-01 -5.456073e-01 8.731511e-01
-2.700000e-01 -5.456073e-01 8.416406e-01
-2.550000e-01 -5.456073e-01 8.066473e-01
-2.400000e-01 -5.456073e-01 7.682175e-01
-2.250000e-01 -5.456073e-01 7.264869e-01
-2.100000e-01 -5.456073e-01 6.817175e-01
-1.950000e-01 -5.456073e-01 6.343441e-01
-1.800000e-01 -5.456073e-01 5.850131e-01
-1.650000e-01 -5.456073e-01 5.345955e-01
-1.500000e-01 -5.456073e-01 4.841554e-01
-1.350000e-01 -5.456073e-01 4.348560e-01
-1.200000e-01 -5.456073e-01 3.877817e-01
-1.050000e-01 -5.456073e-01 3.436505e-01
-9.000000e-02 -5.456073e-01 3.023565e-01
-7.500000e-02 -5.456073e-01 2.623726e-01
-6.000000e-02 -5.456073e-01 2.212002e-01
-4.500000e-02 -5.456073e-01 1.800912e-01
-3.000000e-02 -5.456073e-01 1.471491e-01
-1.500000e-02 -5.456073e-01 1.278956e-01
5.551115e-17 -5.456073e-01 1.218090e-01
1.500000e-02 -5.456073e-01 1.278956e-01
3.000000e-02 -5.456073e-01 1.471491e-01
4.500000e-02 -5.456073e-01 1.800912e-01
6.000000e-02 -5.456073e-01 2.212002e-01
7.500000e-02 -5.456073e-01 2.623726e-01
9.000000e-02 -5.456073e-01 3.023565e-01
1.050000e-01 -5.456073e-01 3.436505e-01
1.200000e-01 -5.456073e-01 3.877817e-01
1.350000e-01 -5.456073e-01 4.348560e-01
1.500000e-01 -5.456073e-01 4.841554e-01
1.650000e-01 -5.456073e-01 5.345955e-01
1.800000e-01 -5.456073e-01 5.850131e-01
1.950000e-01 -5.456073e-01 6.343441e-01
2.100000e-01 -5.456073e-01 6.817175e-01
2.250000e-01 -5.456073e-01 7.264869e-01
2.400000e-01 -5.456073e-01 7.682175e-01
2.550000e-01 -5.456073e-01 8.066473e-01
2.700000e-01 -5.456073e-01 8.416406e-01
2.850000e-01 -5.456073e-01 8.731511e-01
3.000000e-01 -5.456073e-01 9.012036e-01
-3.000000e-01 -5.319431e-01 9.930778e-01
-2.850000e-01 -5.319431e-01 9.607727e-01
-2.700000e-01 -5.319431e-01 9.245637e-01
-2.550000e-01 -5.319431e-01 8.844522e-01
-2.400000e-01 -5.319431e-01 8.405253e-01
-2.250000e-01 -5.319431e-01 7.929770e-01
-2.100000e-01 -5.319431e-01 7.421475e-01
-1.950000e-01 -5.319431e-01 6.885739e-01
-1.800000e-01 -5.319431e-01 6.330291e-01
-1.650000e-01 -5.319431e-01 5.765295e-01
-1.500000e-01 -5.319431e-01 5.202931e-01
-1.350000e-01 -5.319431e-01 4.656272e-01
-1.200000e-01 -5.319431e-01 4.137311e-01
-1.050000e-01 -5.319431e-01 3.653863e-01
-9.000000e-02 -5.319431e-01 3.204784e-01
-7.500000e-02 -5.319431e-01 2.773811e-01
-6.000000e-02 -5.319431e-01 2.334349e-01
-4.500000e-02 -5.319431e-01 1.898856e-01
-3.000000e-02 -5.319431e-01 1.551248e-01
-1.500000e-02 -5.319431e-01 1.348420e-01
5.551115e-17 -5.319431e-01 1.284339e-01
1.500000e-02 -5.319431e-01 1.348420e-01
3.000000e-02 -5.319431e-01 1.551248e-01
4.500000e-02 -5.319431e-01 1.898856e-01
6.000000e-02 -5.319431e-01 2.334349e-01
7.500000e-02 -5.319431e-01 2.773811e-01
9.000000e-02 -5.319431e-01 3.204784e-01
1.050000e-01 -5.319431e-01 3.653863e-01
1.200000e-01 -5.319431e-01 4.137311e-01
1.350000e-01 -5.319431e-01 4.656272e-01
1.500000e-01 -5.319431e-01 5.202931e-01
1.650000e-01 -5.319431e-01 5.765295e-01
1.800000e-01 -5.319431e-01 6.330291e-01
1.950000e-01 -5.319431e-01 6.885739e-01
2.100000e-01 -5.319431e-01 7.421475e-01
2.250000e-01 -5.319431e-01 7.929770e-01
2.400000e-01 -5.319431e-01 8.405253e-01
2.550000e-01 -5.319431e-01 8.844522e-01
2.700000e-01 -5.319431e-01 9.245637e-01
2.850000e-01 -5.319431e-01 9.607727e-01
