# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | density n = G_DEG * INT d2k/(2pi)^2 f_c (Kramers degeneracy G_DEG=2)
# target_n=5.000e+12 cm^-2  n=4.756767e+12 cm^-2  dmu=2.033600 eV  inverted
# kx_invA  omega_eV  A_kw
-1.500000e-02 -5.592716e-01 9.650273e-02
5.551115e-17 -5.592716e-01 9.213361e-02
1.500000e-02 -5.592716e-01 9.650273e-02
3.000000e-02 -5.592716e-01 1.110447e-01
4.500000e-02 -5.592716e-01 1.391922e-01
6.000000e-02 -5.592716e-01 1.810653e-01
7.500000e-02 -5.592716e-01 2.273563e-01
9.000000e-02 -5.592716e-01 2.704217e-01
1.050000e-01 -5.592716e-01 3.116060e-01
1.200000e-01 -5.592716e-01 3.536248e-01
1.350000e-01 -5.592716e-01 3.974233e-01
1.500000e-01 -5.592716e-01 4.427187e-01
1.650000e-01 -5.592716e-01 4.886881e-01
1.800000e-01 -5.592716e-01 5.343624e-01
1.950000e-01 -5.592716e-01 5.788361e-01
2.100000e-01 -5.592716e-01 6.213689e-01
2.250000e-01 -5.592716e-01 6.614167e-01
2.400000e-01 -5.592716e-01 6.986170e-01
2.550000e-01 -5.592716e-01 7.327506e-01
2.700000e-01 -5.592716e-01 7.637013e-01
2.850000e-01 -5.592716e-01 7.914305e-01
3.000000e-01 -5.592716e-01 8.159646e-01
-3.000000e-01 -5.456073e-01 8.951211e-01
-2.850000e-01 -5.456073e-01 8.670421e-01
-2.700000e-01 -5.456073e-01 8.353706e-01
-2.550000e-01 -5.456073e-01 8.001023e-01
-2.400000e-01 -5.456073e-01 7.613104e-01
-2.250000e-01 -5.456073e-01 7.191608e-01
-2.100000e-01 -5.456073e-01 6.739382e-01
-1.950000e-01 -5.456073e-01 6.260905e-01
-1.800000e-01 -5.456073e-01 5.762678e-01
-1.650000e-01 -5.456073e-01 5.253336e-01
-1.500000e-01 -5.456073e-01 4.743246e-01
-1.350000e-01 -5.456073e-01 4.243343e-01
-1.200000e-01 -5.456073e-01 3.762821e-01
-1.050000e-01 -5.456073e-01 3.304961e-01
-9.000000e-02 -5.456073e-01 2.859934e-01
-7.500000e-02 -5.456073e-01 2.399198e-01
-6.000000e-02 -5.456073e-01 1.908344e-01
-4.500000e-02 -5.456073e-01 1.466582e-01
-3.000000e-02 -5.456073e-01 1.170264e-01
-1.500000e-02 -5.456073e-01 1.017315e-01
5.551115e-17 -5.456073e-01 9.713783e-02
1.500000e-02 -5.456073e-01 1.017315e-01
3.000000e-02 -5.456073e-01 1.170264e-01
4.500000e-02 -5.456073e-01 1.466582e-01
6.000000e-02 -5.456073e-01 1.908344e-01
7.500000e-02 -5.456073e-01 2.399198e-01
9.000000e-02 -5.456073e-01 2.859934e-01
1.050000e-01 -5.456073e-01 3.304961e-01
1.200000e-01 -5.456073e-01 3.762821e-01
1.350000e-01 -5.456073e-01 4.243343e-01
1.500000e-01 -5.456073e-01 4.743246e-01
1.650000e-01 -5.456073e-01 5.253336e-01
1.800000e-01 -5.456073e-01 5.762678e-01
1.950000e-01 -5.456073e-01 6.260905e-01
2.100000e-01 -5.456073e-01 6.739382e-01
2.250000e-01 -5.456073e-01 7.191608e-01
2.400000e-01 -5.456073e-01 7.613104e-01
2.550000e-01 -5.456073e-01 8.001023e-01
2.700000e-01 -5.456073e-01 8.353706e-01
2.850000e-01 -5.456073e-01 8.670421e-01
3.000000e-01 -5.456073e-01 8.951211e-01
-3.000000e-01 -5.319431e-01 9.860702e-01
-2.850000e-01 -5.319431e-01 9.537489e-01
-2.700000e-01 -5.319431e-01 9.173720e-01
-2.550000e-01 -5.319431e-01 8.769654e-01
-2.400000e-01 -5.319431e-01 8.326489e-01
-2.250000e-01 -5.319431e-01 7.846518e-01
-2.100000e-01 -5.319431e-01 7.333422e-01
-1.950000e-01 -5.319431e-01 6.792730e-01
-1.800000e-01 -5.319431e-01 6.232225e-01
-1.650000e-01 -5.319431e-01 5.662003e-01
-1.500000e-01 -5.319431e-01 5.093955e-01
-1.350000e-01 -5.319431e-01 4.540424e-01
-1.200000e-01 -5.319431e-01 4.011671e-01
-1.050000e-01 -5.319431e-01 3.511432e-01
-9.000000e-02 -5.319431e-01 3.029417e-01
-7.500000e-02 -5.319431e-01 2.535523e-01
-6.000000e-02 -5.319431e-01 2.014208e-01
-4.500000e-02 -5.319431e-01 1.547534e-01
-3.000000e-02 -5.319431e-01 1.235227e-01
-1.500000e-02 -5.319431e-01 1.074183e-01
5.551115e-17 -5.319431e-01 1.025837e-01
1.500000e-02 -5.319431e-01 1.074183e-01
3.000000e-02 -5.319431e-01 1.235227e-01
4.500000e-02 -5.319431e-01 1.547534e-01
6.000000e-02 -5.319431e-01 2.014208e-01
7.500000e-02 -5.319431e-01 2.535523e-01
9.000000e-02 -5.319431e-01 3.029417e-01
1.050000e-01 -5.319431e-01 3.511432e-01
1.200000e-01 -5.319431e-01 4.011671e-01
1.350000e-01 -5.319431e-01 4.540424e-01
1.500000e-01 -5.319431e-01 5.093955e-01
1.650000e-01 -5.319431e-01 5.662003e-01
1.800000e-01 -5.319431e-01 6.232225e-01
1.950000e-01 -5.319431e-01 6.792730e-01
2.100000e-01 -5.319431e-01 7.333422e-01
2.250000e-01 -5.319431e-01 7.846518e-01
2.400000e-01 -5.319431e-01 8.326489e-01
2.550000e-01 -5.319431e-01 8.769654e-01
2.700000e-01 -5.319431e-01 9.173720e-01
2.850000e-01 -5.319431e-01 9.537489e-01
3.000000e-01 -5.319431e-01 9.860702e-01
-3.000000e-01 -5.182788e-01 1.091201e+00
-2.850000e-01 -5.182788e-01 1.053766e+00
-2.700000e-01 -5.182788e-01 1.011733e+00
-2.550000e-01 -5.182788e-01 9.651693e-01
-2.400000e-01 -5.182788e-01 9.142565e-01
-2.250000e-01 -5.182788e-01 8.593066e-01
-2.100000e-01 -5.182788e-01 8.007925e-01
-1.950000e-01 -5.182788e-01 7.393978e-01
-1.800000e-01 -5.182788e-01 6.760563e-01
-1.650000e-01 -5.182788e-01 6.119514e-01
-1.500000e-01 -5.182788e-01 5.484495e-01
-1.350000e-01 -5.182788e-01 4.869443e-01
-1.200000e-01 -5.182788e-01 4.285782e-01
-1.050000e-01 -5.182788e-01 3.737701e-01
-9.000000e-02 -5.182788e-01 3.214325e-01
-7.500000e-02 -5.182788e-01 2.683775e-01
-6.000000e-02 -5.182788e-01 2.129179e-01
-4.500000e-02 -5.182788e-01 1.635504e-01
-3.000000e-02 -5.182788e-01 1.305942e-01
-1.500000e-02 -5.182788e-01 1.136185e-01
5.551115e-17 -5.182788e-01 1.085248e-01
1.500000e-02 -5.182788e-01 1.136185e-01
3.000000e-02 -5.182788e-01 1.305942e-01
4.500000e-02 -5.182788e-01 1.635504e-01
6.000000e-02 -5.182788e-01 2.129179e-01
7.500000e-02 -5.182788e-01 2.683775e-01
9.000000e-02 -5.182788e-01 3.214325e-01
1.050000e-01 -5.182788e-01 3.737701e-01
1.200000e-01 -5.182788e-01 4.285782e-01
1.350000e-01 -5.182788e-01 4.869443e-01
1.500000e-01 -5.182788e-01 5.484495e-01
1.650000e-01 -5.182788e-01 6.119514e-01
1.800000e-01 -5.182788e-01 6.760563e-01
1.950000e-01 -5.182788e-01 7.393978e-01
2.100000e-01 -5.182788e-01 8.007925e-01
2.250000e-01 -5.182788e-01 8.593066e-01
2.400000e-01 -5.182788e-01 9.142565e-01
2.550000e-01 -5.182788e-01 9.651693e-01
2.700000e-01 -5.182788e-01 1.011733e+00
2.850000e-01 -5.182788e-01 1.053766e+00
3.000000e-01 -5.182788e-01 1.091201e+00
-3.000000e-01 -5.046145e-01 1.213516e+00
-2.850000e-01 -5.046145e-01 1.169870e+00
-2.700000e-01 -5.046145e-01 1.120986e+00
-2.550000e-01 -5.046145e-01 1.066990e+00
-2.400000e-01 -5.046145e-01 1.008146e+00
-2.250000e-01 -5.046145e-01 9.448715e-01
-2.100000e-01 -5.046145e-01 8.777745e-01
-1.950000e-01 -5.046145e-01 8.077006e-01
-1.800000e-01 -5.046145e-01 7.357734e-01
-1.650000e-01 -5.046145e-01 6.633834e-01
-1.500000e-01 -5.046145e-01 5.921037e-01
-1.350000e-01 -5.046145e-01 5.235082e-01
-1.200000e-01 -5.046145e-01 4.588652e-01
-1.050000e-01 -5.046145e-01 3.986354e-01
-9.000000e-02 -5.046145e-01 3.416572e-01
-7.500000e-02 -5.046145e-01 2.845377e-01
-6.000000e-02 -5.046145e-01 2.254325e-01
-4.500000e-02 -5.046145e-01 1.731324e-01
-3.000000e-02 -5.046145e-01 1.383107e-01
-1.500000e-02 -5.046145e-01 1.203959e-01
5.551115e-17 -5.046145e-01 1.150233e-01
1.500000e-02 -5.046145e-01 1.203959e-01
3.000000e-02 -5.046145e-01 1.383107e-01
